timestamp,flow_m3_s,flow_normalized,P_MW
2025-06-21 00:00:00+00:00,219.867,0.9938892767008536,0.9969446383504268
2025-06-21 00:15:00+00:00,219.51225,0.9900794716211135,0.9950397358105567
2025-06-21 00:30:00+00:00,219.1575,0.9862696665413735,0.9931348332706867
2025-06-21 00:45:00+00:00,218.80275,0.9824598614616334,0.9912299307308168
2025-06-21 01:00:00+00:00,218.448,0.9786500563818934,0.9893250281909467
2025-06-21 01:15:00+00:00,218.945,0.9839875422864198,0.9919937711432099
2025-06-21 01:30:00+00:00,219.442,0.9893250281909467,0.9946625140954733
2025-06-21 01:45:00+00:00,219.93900000000002,0.9946625140954735,0.9973312570477367
2025-06-21 02:00:00+00:00,220.436,1.0,1.0
2025-06-21 02:15:00+00:00,220.299,0.9985287010685712,0.9992643505342855
2025-06-21 02:30:00+00:00,220.162,0.9970574021371422,0.9985287010685711
2025-06-21 02:45:00+00:00,220.025,0.9955861032057134,0.9977930516028567
2025-06-21 03:00:00+00:00,219.888,0.9941148042742844,0.9970574021371422
2025-06-21 03:15:00+00:00,217.0565,0.9637061697900445,0.9818530848950222
2025-06-21 03:30:00+00:00,214.22500000000002,0.9332975353058048,0.9666487676529024
2025-06-21 03:45:00+00:00,211.39350000000002,0.9028889008215648,0.9514444504107824
2025-06-21 04:00:00+00:00,208.562,0.8724802663373249,0.9362401331686625
2025-06-21 04:15:00+00:00,205.73025,0.8420689470010203,0.9210344735005102
2025-06-21 04:30:00+00:00,202.8985,0.8116576276647157,0.9058288138323578
2025-06-21 04:45:00+00:00,200.06675,0.7812463083284112,0.8906231541642056
2025-06-21 05:00:00+00:00,197.235,0.7508349889921067,0.8754174944960533
2025-06-21 05:15:00+00:00,192.05375,0.6951914299522097,0.8475957149761049
2025-06-21 05:30:00+00:00,186.8725,0.6395478709123127,0.8197739354561564
2025-06-21 05:45:00+00:00,181.69125,0.5839043118724158,0.7919521559362079
2025-06-21 06:00:00+00:00,176.51,0.5282607528325188,0.7641303764162595
2025-06-21 06:15:00+00:00,170.12775,0.4597191644740374,0.7298595822370186
2025-06-21 06:30:00+00:00,163.7455,0.3911775761155559,0.695588788057778
2025-06-21 06:45:00+00:00,157.36325,0.3226359877570745,0.6613179938785373
2025-06-21 07:00:00+00:00,150.981,0.2540943993985931,0.6270471996992966
2025-06-21 07:15:00+00:00,145.59224999999998,0.19622241314503547,0.5981112065725177
2025-06-21 07:30:00+00:00,140.2035,0.1383504268914782,0.5691752134457391
2025-06-21 07:45:00+00:00,134.81475,0.08047844063792091,0.5402392203189604
2025-06-21 08:00:00+00:00,129.426,0.02260645438436331,0.5113032271921817
2025-06-21 08:15:00+00:00,129.29625,0.021213016162809302,0.5106065080814046
2025-06-21 08:30:00+00:00,129.16649999999998,0.019819577941255297,0.5099097889706277
2025-06-21 08:45:00+00:00,129.03675,0.018426139719701595,0.5092130698598508
2025-06-21 09:00:00+00:00,128.907,0.017032701498147586,0.5085163507490738
2025-06-21 09:15:00+00:00,128.8715,0.016651452504966968,0.5083257262524835
2025-06-21 09:30:00+00:00,128.836,0.01627020351178666,0.5081351017558934
2025-06-21 09:45:00+00:00,128.8005,0.01588895451860604,0.507944477259303
2025-06-21 10:00:00+00:00,128.765,0.015507705525425424,0.5077538527627127
2025-06-21 10:15:00+00:00,128.429,0.011899264350534329,0.5059496321752671
2025-06-21 10:30:00+00:00,128.093,0.008290823175642928,0.5041454115878214
2025-06-21 10:45:00+00:00,127.757,0.004682382000751834,0.5023411910003759
2025-06-21 11:00:00+00:00,127.421,0.0010739408258605865,0.5005369704129303
2025-06-21 11:15:00+00:00,127.62700000000001,0.0032862589271332393,0.5016431294635666
2025-06-21 11:30:00+00:00,127.833,0.005498577028405739,0.5027492885142029
2025-06-21 11:45:00+00:00,128.03900000000002,0.0077108951296785445,0.5038554475648392
2025-06-21 12:00:00+00:00,128.245,0.009923213230951045,0.5049616066154755
2025-06-21 12:15:00+00:00,128.4185,0.011786500563818896,0.5058932502819095
2025-06-21 12:30:00+00:00,128.59199999999998,0.013649787896686747,0.5068248939483434
2025-06-21 12:45:00+00:00,128.7655,0.015513075229554904,0.5077565376147775
2025-06-21 13:00:00+00:00,128.939,0.017376362562422754,0.5086881812812114
2025-06-21 13:15:00+00:00,128.53449999999998,0.013032271921816914,0.5065161359609085
2025-06-21 13:30:00+00:00,128.13,0.008688181281211377,0.5043440906406057
2025-06-21 13:45:00+00:00,127.7255,0.004344090640605688,0.5021720453203028
2025-06-21 14:00:00+00:00,127.321,0.0,0.5
2025-06-21 14:15:00+00:00,127.71375,0.004217902593567165,0.5021089512967836
2025-06-21 14:30:00+00:00,128.10649999999998,0.008435805187134025,0.504217902593567
2025-06-21 14:45:00+00:00,128.49925,0.01265370778070119,0.5063268538903506
2025-06-21 15:00:00+00:00,128.892,0.016871610374268355,0.5084358051871342
2025-06-21 15:15:00+00:00,133.846,0.07007463888739736,0.5350373194436987
2025-06-21 15:30:00+00:00,138.8,0.12327766740052637,0.5616388337002631
2025-06-21 15:45:00+00:00,143.754,0.17648069591365506,0.5882403479568276
2025-06-21 16:00:00+00:00,148.708,0.22968372442678406,0.614841862213392
2025-06-21 16:15:00+00:00,155.19675,0.29936905976480704,0.6496845298824035
2025-06-21 16:30:00+00:00,161.6855,0.3690543951028297,0.6845271975514149
2025-06-21 16:45:00+00:00,168.17425,0.4387397304408527,0.7193698652204263
2025-06-21 17:00:00+00:00,174.663,0.5084250657788757,0.7542125328894378
2025-06-21 17:15:00+00:00,174.61125,0.5078693014014929,0.7539346507007465
2025-06-21 17:30:00+00:00,174.5595,0.5073135370241101,0.753656768512055
2025-06-21 17:45:00+00:00,174.50775,0.5067577726467271,0.7533788863233635
2025-06-21 18:00:00+00:00,174.456,0.5062020082693443,0.7531010041346722
2025-06-21 18:15:00+00:00,177.0405,0.5339580089137089,0.7669790044568545
2025-06-21 18:30:00+00:00,179.625,0.5617140095580733,0.7808570047790366
2025-06-21 18:45:00+00:00,182.2095,0.5894700102024377,0.7947350051012189
2025-06-21 19:00:00+00:00,184.794,0.6172260108468024,0.8086130054234012
2025-06-21 19:15:00+00:00,187.42350000000002,0.6454652848628042,0.8227326424314021
2025-06-21 19:30:00+00:00,190.053,0.6737045588788058,0.8368522794394029
2025-06-21 19:45:00+00:00,192.6825,0.7019438328948076,0.8509719164474038
2025-06-21 20:00:00+00:00,195.312,0.7301831069108093,0.8650915534554047
2025-06-21 20:15:00+00:00,195.04525,0.7273183697578264,0.8636591848789132
2025-06-21 20:30:00+00:00,194.7785,0.7244536326048435,0.8622268163024218
2025-06-21 20:45:00+00:00,194.51175,0.7215888954518607,0.8607944477259304
2025-06-21 21:00:00+00:00,194.245,0.7187241582988777,0.8593620791494389
2025-06-21 21:15:00+00:00,194.41225,0.7205203243301294,0.8602601621650647
2025-06-21 21:30:00+00:00,194.5795,0.722316490361381,0.8611582451806905
2025-06-21 21:45:00+00:00,194.74675,0.7241126563926327,0.8620563281963163
2025-06-21 22:00:00+00:00,194.914,0.7259088224238842,0.862954411211942
2025-06-21 22:15:00+00:00,195.14225,0.7283600923589109,0.8641800461794554
2025-06-21 22:30:00+00:00,195.3705,0.7308113622939375,0.8654056811469688
2025-06-21 22:45:00+00:00,195.59875,0.733262632228964,0.8666313161144821
2025-06-21 23:00:00+00:00,195.827,0.7357139021639907,0.8678569510819953
2025-06-21 23:15:00+00:00,195.61124999999998,0.7333968748321965,0.8666984374160982
2025-06-21 23:30:00+00:00,195.3955,0.7310798475004027,0.8655399237502013
2025-06-21 23:45:00+00:00,195.17975,0.7287628201686088,0.8643814100843044
